Reference,,,Quantity,,,Price ($),,,Source
,,,,,,,,,
Cherry MX Blue Switch,,,1,,,2.75,,,https://www.digikey.ca/short/5hhtbtzv
Cherry MX Red Switch,,,20,,,55,,,https://www.digikey.ca/short/5hhtbtzv
,,,,,,,,,
S37735R Screen,,,1,,,N/A,,,Included in kit
1N4148 ,,,22,,,N/A,,,Included in kit
Orpheus Pico,,,1,,,N/A,,,Included in kit
PCM 5100,,,1,,,N/A,,,Included in kit
EC11 Rotary Encoders,,,2,,,N/A,,,Included in kit
,,,,,,,,,
M3 18 mm Screw,,,4,,,1.06,,,https://us.store.bambulab.com/products/m3-button-head-cap-machine-screws-bhcs?id=42338644951176&skr=yes&srsltid=AfmBOopSESXJ4EjEqEEK0BLUXcE5DvgHNljAoD47kIAmWpR0wK7NjN2XMWU
M3 4 mm Screw,,,4,,,1.06,,,https://us.store.bambulab.com/products/m3-button-head-cap-machine-screws-bhcs?id=42338644721800 
M2 5 mm Screw,,,2,,,1.02,,,https://us.store.bambulab.com/products/m2-button-head-cap-machine-screws-bhcs?id=42328200577160 
Potentiometer,,,1,,,2.95,,,https://www.adafruit.com/product/4219
ADS Module (Analog-to-Digital Converter),,,1,,,9.95,,,https://www.adafruit.com/product/1083?srsltid=AfmBOop8ixWUQaX83uft3C2YM4BQjQDlJqQdmrPAVSt37ROM3-DGT_Yp
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Total Shipping for DigiKey Parts: $8,,,,,,,,,
Total Shipping for BambuLab Parts: $6,,,,,,,,,
Total Shipping for Adafruit Parts: $30 (its alot but I couldnt find a cheaper place),,,,,,,,,
